id,shortName,ibuMin,ibuMax,ibu,abvMin,abvMax,abv,srmMin,srmMax,srm,ogMin,ogMax,og,fgMin,fgMax,fg
163,Double Red,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
164,Session IPA,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
165,Contemporary Gose,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
166,Dutch Kuit,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
167,Belgian Fruit,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
168,Chili Beer,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
169,Mixed Brett,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
170,Wild Beer,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
171,Juicy or Hazy Pale Ale,30,50,40,4.4,5.4,4.9,4,7,5.5,1.044,1.05,1.047,1.008,1.014,1.011
172,Juicy or Hazy IPA,50,70,60,6.3,7.5,6.9,4,7,5.5,1.06,1.07,1.065,1.008,1.016,1.012
173,Juicy or Hazy Double IPA,65,100,82.5,7.6,10.6,9.1,4,7,5.5,1.07,1.1,1.085,1.012,1.02,1.016
174,Contemporary American Pilsener,25,40,32.5,4.9,6,5.45,3,6,4.5,1.045,1.06,1.0525,1.012,1.018,1.015
175,Classic Australian Pale,15,35,25,4,6,5,3,10,6.5,1.04,1.052,1.046,1.004,1.01,1.007
